納品先名,郵便番号,住所,電話番号,FAX番号,入荷時間,バース予約,パレット条件,JPRコード,納品方法
阪神ＤＤＣ,663-8142,兵庫県西宮市鳴尾浜1-25-2,0798-81-1281,0798-81‐1303,7:00～10:30,,,,
大阪ＤＤＣ,554-0052,大阪府大阪市此花区常吉1-1-15,06-6460-5701,06-6460-5722,7:00～11:00,,,,
兵庫ＤＤＣ,675-1112,兵庫県加古郡稲美町六分一1362-64,0794-97-9505,0794-97-9506,8:00～11:00,,,,
群馬ＤＤＣ,371-0854,群馬県前橋市大渡町1-10-1,027-210-7030,027-251-7731,7:00～11:00,,,,
新阪和ＤＤＣ,557-0062,大阪府大阪市西成区津守3-８-113,06-6655-5168,06-6651-8995,7:00～11:00,,,,
四国ＤＤＣ,769-0203,香川県綾歌郡宇多津町浜3番丁32-2,0877-59-9777,0877-59-9781,7:00～11:00,,,,
松山サテライト,791-1121,愛媛県松山市中野町甲133-1,089-909-7570,なし,8:00～11::00,,,,
高知ＤＤＣ,783-8555,高知県南国市領石246旭食品㈱四国総合流通センター内,088-855-5208,088-862-4433,7:00～11:00,,,,
沖縄ＤＤＣ,901-2122,沖縄県浦添市勢理客4丁目17番地1号,098-874-1835,098-874-1836,7:00～11:00,,,,
西東京DDC,192-0032,東京都八王子市石川町2969-19,042-631-3810,042-645-0326,7:00～11:00,,,,
北九州DDC,811-0102,福岡県糟屋郡新宮町大字立花口寺浦338番（ムロオ新福岡センター内）,092-941-2267,092-963-3665,8:00～11:00,,,,
ＬＦＣ座間（菓子）,252-0012,神奈川県座間市広野台2-10-10　GLP座間内(菓子は2F）,046-298-3913,046-298-3914,6:00～11:00,,,,
湾岸ＤＤＣ,272-0127,千葉県市川市塩浜1-7-2　プロロジスパーク市川　Ⅰ　3Ｆ,047-357-7552,047-357-3556,7:00～11:00,,,,
東関東ＤＤＣ（99）,341-0059,埼玉県三郷市インター南1丁目5番地34,048-949-5007,048-954-1181,6:00～11:00,,,,
西関東ＤＤＣ（99）,252-0212,神奈川県相模原市中央区宮下３－１－１,042-700-0241,042-774-4681,6:00～11:00,,,,
中京小牧DDC,485-0082,愛知県小牧市大字村中字池田１１２８,0568-42-1601,0568-73-5212,7:30～10:30,,,,
関西DDC,599-8123,大阪府堺市東区北野田７８０番地,072-289-1631,072-289-1636,8:00～10:30,,,,
甲信ＤＹ,399-0702,長野県塩尻市広丘野村字九里幅251-7,0263-51-1681,0263-52-6851,8:00～11:00,,,,
CVS菓子メーカー共配DC,323-0152,栃木県小山市大字延島字瀬窪2705番-1　北関東ロジD棟,0285-49-3451,0285-49-3452,9:00～-,,,,
仙台東ＣＶＳ菓子ＤＣ,983-0034,宮城県仙台市宮城野区扇町5-12-15,022-236-1651,022-236-1653,8:00～11:00,,,,
ＤＹ川口,,埼玉県川口市領家5-2-12,048-227-1221,048-226-6261,8:00～11:00,,,,
DY都築,,神奈川県横浜市都筑区池部町3774-2,045-929-6281,045-932-7955,6:00～10:00,,,,
SBS野田瀬戸物流センター,278-0012,千葉県野田市瀬戸1452-4　A棟 4階,04-7137-9771,,9:15～15:00,,,,
昭島物流センター,196-0005,東京都昭島市代官山1丁目5番2号,042-549-7151,042-549-7012,,,,,
信濃屋食品物流倉庫,150-0033,東京都世田谷区代田1-43-5,03-3412-2486,,,,,,
加藤産業㈱所沢センター,359-0026,埼玉県所沢市牛沼字西保戸窪489－3　㈱キューソー流通システム　所沢センター２F,0429-97-0001,,,,,,
加藤産業㈱サミット草加DC,340-0001,埼玉県草加市柿木町673－1　㈱日本アクセス草加物流センター内,0489-33-3400,,,,,,
加藤産業㈱サミット扇町DC,210-0867,神奈川県川崎市川崎区扇町13－8　東洋埠頭敷地内　㈱日本アクセス川崎扇町TPLセンター２階,044-329-1608,,,,,,
ライフ松戸総合物流センター,271-0064,千葉県松戸市上本郷700-1,047-7108-077,,,,,,
ABC商会,651-0061,神戸市中央区上筒井通4丁目1番5号,078-241-2431,078-231-2409,,,,,
丸善・筑波大学大学会館書籍部,305-0006,茨城県つくば市天王台1-1-1　筑波大学　大学会館B棟3階,029-858-0409,,,,,,
カスミ千代田菓子DC,315-0056,茨城県かすみがうら市上稲吉向原1754,0598-32-5851,,,,,,
MS八千代DC,276-0022,千葉県八千代市上高野1807-13,047-455-8981,,,,,,
丸栄日産㈱明石本社,673-0028,兵庫県明石市硯町3-3-8,078-925-5151,,,,,,
㈱TWO　恵比寿本社,150-0012,東京都渋谷区広尾1-13-7恵比寿イーストビル6階,03-6869-0010,,,,,,
SEJ市川センター,,千葉県市川市二又新町22-1　※荷降ろし完了時間AM10:30,047-318-8155,047-318-8711,,,,,
SEJ鶴見センター,,神奈川県横浜市鶴見区大黒町2-57,045-508-0711,045-511-2567,,,,,
IY相模原IDC,,神奈川県相模原市中央区清新8-20-12,0427-75-6622,,,,,,
IY流山IDC,,千葉県流山市森のロジスP2-158-1G,0471-92-7937,,,,,,
船橋物流センター,273-0023,千葉県船橋市南海人1-7-4　センコー㈱船橋ＦＬＣ内,047-436-0180,,8:00～13:00,,,,
野田物流センター,270-0239,千葉県野田市泉1-1-6　センコー㈱野田第1ＰＤセンター内,047-128-1565,,10:00～14:00,,,,
袋井物流センター,437-0056,静岡県袋井市小山1700-1,053-845-1051,,13:00～15:00,,,,
大和東日運送物流センター,981-3606,宮城県黒川郡大衡村桔梗平３　東日運送㈱内,022-347-0518,,8:00～12:00,,,,
新潟物流センター,950-0862,新潟県新潟市東区竹尾818-1　センコー㈱新潟営業所内,025-274-7157,,8:00～12：00,,,,
信州物流センター,390-1242,長野県松本市和田4872　信州名鉄運輸㈱第2ターミナル内,0263-40-3285,,9:00～12:00,,,,
桑名物流センター,510-8125,三重県三重郡川越町大字北福崎字宮西９１　センコー㈱三重支店桑名営業所内,0593-61-7760,,14:00～16:00,,,,
北陸物流センター,924-0071,石川県白山市徳光町2727-1　㈱アクティー白山SCMセンター内,076-278-7005,,8:00～12:00,,,,
関西物流センター,610-0333,京都府京田辺市甘南備台2-101,0774-68-1088,,8:00～11:30,,,,
龍野物流センター,679-4343,兵庫県たつの市新宮町大屋668-16,0791-76-2023,,8:30～12:00,,,,
新岡山南物流センター,702-8051,岡山県岡山市南区築港元町13-17,086-230-6597,,8:00～11:30,,,,
広島物流センター,733-8668,広島県広島市西区商工センター6-9-55,082-278-0278,,7:00～11:00,,,,
四国物流センター,762-0052,香川県坂出市沖の浜1-34,0877-46-5629,,8:00～11:00,,,,
鳥栖物流センター,841-0011,佐賀県鳥栖市末吉町700-8　国分九州㈱鳥栖第二物流センター内,080-2797-7420,,9:00～12:00,,,,
営業倉庫　小郡センター,838-0112,福岡県小郡市干潟1319-10　（株）宮崎商事　小郡DC2内,092-281-1932,,7:00～12:00,,,,
㈱イー・ロジット埼玉草加FC【CLST-001】,340-0013,埼玉県草加市松江５丁目１番３９号,04-8932-5190,,～19:00,,,,
フードバンク愛知,481-0011,愛知県北名古屋市高田寺砂場18番地,0568-68-6650,,,,,,
スマイルネット,370-0535,群馬県邑楽郡大泉町寄木戸1588-2　担当：鈴木様,080-6561-8536,,,,,,
HAPPYリレー,310-0846,茨城県水戸市東野町５１１番地の１　担当：鴨川様,080-8022-1616,,,,,,
柏物流センター,270-1443,千葉県柏市鷲野谷1027-29丸紅LOGI柏第二C,047-193-7491,,8:00～11:00,,,,
所沢物流センター,354-0045,埼玉県入間郡三好町上富247,049-259-7062,,～1:00,,,,
仙台臨港物流センター,983-0001,宮城県仙台市宮城野区港2-1-11センコー(株) 仙台港PDセンター内,022-387-2303,,～3:00,,,,
盛岡物流センター,020-0891,岩手県紫波郡矢巾町流通センター南1-3-9,019-638-0220,,～4:00,,,,
神奈川物流センター,243-0801,神奈川県厚木市上依知474-1,046-246-1163,,～5:00,,,,
柏物流センター,270-1443,千葉県柏市鷲野谷1027-29丸紅ロジスティクス(株)柏第二物流センター内,04-7193-7491,,～6:00,,,,
瀬谷菓子共同センター,246-0002,神奈川県横浜市瀬谷区北町３５－６　東京ロジファクトリー株式会社　瀬谷センター内,042-325-8800,,～7:00,,,,
所沢物流センター（山星屋）,,埼玉県入間郡三芳町上富２４７　ロジスティード東日本㈱三芳営業所内,049-259-7062,,～8:00,,,,
春日井物流センター,486-0801,愛知県春日井市上田楽町111,056-858-0415,,～9:00,,,,
鳥飼物流センター,,大阪府摂津市鳥飼西1-1-5,072-654-7491,,～10:00,,,,
広島物流センター（山星屋）,731-3168,広島県広島市安佐南区伴南2-2-38双葉運輸(株)西風新都物流センター3F,082-568-0411,,～11:00,,,,
山星屋福岡物流センター,811-2500,福岡県糟屋郡久山町大字久原字原２８５９－１株式会社日立物流九州　第一物流センター内,092-976-4460,,～12:00,,,,
山星屋鹿児島物流センター,,鹿児島県鹿児島市宮之浦町3072-1,099-293-7585,,～13:00,,,,
木村熊本支店,,熊本市南区流通団地2-5㈱木村,096-377-2220,,～14:00,,,,
札幌物流センター,,北海道江別市角山69-3 ロジポート北海道内,011-381-3836,,～15:00,,,,
新潟物流センター,,新潟県新潟市北区島見町字芝田2434-29(株)日立物流 若葉運送倉庫内,025-255-3665,,～16:00,,,,
大阪南港物流センター（山星屋）,559-0032,大阪府大阪市住之江区南南港2-5-8,06-6615-9011,,～17:00,,,,
南港流通センター小分け,559-0032,大阪市住之江区南港南1-1-157,072-636-1128,,～18:00,,,,
大阪平林センター小分け,559-0026,大阪市住之江区平林北1丁目2番132号,072-636-1128,,～19:00,,,,
アミング富山物流センター（DC）,939-0321,富山県射水市流通センター青井谷2丁目3番,0766-54-5661,,～21:00,,,,
フーデリー霧島店旭様（永仮商事様御依頼分）,880-0032,宮崎県宮崎市霧島3丁目57-2,0985-24-1093,,～22:00,,,,
サンドラック中京DC（山星屋）,481-0043,愛知県北名古屋市沖村権現35-1,0568-25-0035,,～23:00,,,,
常温一括札幌センター,001-0915,北海道札幌市北区新琴似町561-1,011-299-5380,011-299-5381,～1:00,,,,
常温旭川センター,079-8413,北海道旭川市永山3条2-2-3,0166-73-3566,0166-46-2270,～2:00,,,,
常温十勝センター,080-0028,北海道帯広市西18条南1-2-18,0155-35-0711,0155-33-7077,～23:00,,,,
常温共配北見センター,090-0056,北海道北見市卸町3丁目5番地6号,0157-36-9636,0157-36-9620,～0:00,,,,
常温函館センター,041-1133,北海道亀田郡七飯町148-8,0138-84-8263,0138-84-8265,～1:00,,,,
常温北上センター,024-0051,岩手県北上市相去町山根梨の木43-108,0197-67-1717,0197-67-6077,～2:00,,,,
常温仙台センター,985-0843,宮城県多賀城市明月2-3-1,022-364-9150,022-364-9359,～23:00,,,,
山形菓子デポ,990-0071,山形県山形市流通センター4-1-1,023-674-0126,023-626-9012,～0:00,,,,
常温一括福島センター,969-1104,福島県本宮市荒井字恵向13－1,0243-24-1061,0243-24-1079,～1:00,,,,
常温一括水海道センター,303-0044,茨城県常総市菅生町字樽井275-40,0297-27-9171,0297-27-9175,～2:00,,,,
常温水戸センター,319-0131,茨城県小美玉市寺崎748-1,0299-48-3712,0299-48-3714,～23:00,,,,
常温一括宇都宮センター,329-0524,栃木県河内郡上三川町大字多功南原2579-5,0285-51-1610,0285-51-1620,～0:00,,,,
常温一括市川センター,272-0002,千葉県市川市二俣新町22-1,047-318-8155,047-318-8711,～1:00,,,,
常温一括佐倉センター,285-0808,千葉県佐倉市太田2173－1,043-486-6514,043-483-1200,～2:00,,,,
常温一括白井センター,270-1402,千葉県白井市平塚2761-14　白井第2工業団地,047-498-0711,047-492-6327,～3:00,,,,
常温長岡センター,954-0124,新潟県長岡市中之島字古新田1781-5,0258-61-2160,0258-61-2158,～4:00,,,,
常温一括石川センター,921-8809,石川県野々市市二日市2丁目150番地,076-294-7112,076-294-7911,～5:00,,,,
常温一括伊勢崎センター,379-2235,群馬県伊勢崎市三室町5853-2,0270-40-9000,0270-63-1122,～6:00,,,,
常温共配草加センター,340-0002,埼玉県草加市青柳1-6-39　草加物流センター5F,048-934-5571,048-934-5587,～7:00,,,,
常温一括越谷センター,343-0824,埼玉県越谷市流通団地2-2-4,048-961-5601,048-988-7371,～8:00,,,,
常温一括朝霞センター,351-0001,埼玉県朝霞市大字上内間木字黒沼460－1,048-458-1158,048-456-2660,～9:00,,,,
常温一括八潮センター,340-0834,埼玉県八潮市大字大曽根字関屋2131－1,048-994-2031,048-994-2036,～10:00,,,,
常温川越センター,350-0168,埼玉県比企郡川島町かわじま2-3　プロロジスパーク川島2-3-4,049‐299‐0661,049‐297‐8620,～11:00,,,,
常温一括昭島センター,196-0001,東京都昭島市美堀町4-13-37,042-549-0611,042-544-1919,～12:00,,,,
常温長野センター,382-0931,長野県須坂市大字五閑34,026‐251‐2090,026‐251‐2150,～13:00,,,,
常温一括鶴見センター,230-0053,神奈川県横浜市鶴見区大黒町2－57,045-508-0711,045-511-2567,～14:00,,,,
常温横浜緑センター,226-0012,神奈川県横浜市緑区上山1-15-1　SOSiLA横浜港北1F,045-509-1367,045-509-1369,～15:00,,,,
常温一括相模原センター,252-0244,神奈川県相模原市中央区田名3700番3ﾛｼﾞﾎﾟｰﾄ相模原2F　201,042-764-7010,042-762-7101,～16:00,,,,
常温平塚センター,254-0016,神奈川県平塚市東八幡5-2-1,0463-25-0450,0463-21-5712,～17:00,,,,
常温一括藤沢センター,251-0875,神奈川県藤沢市本藤沢4－2－2,0466-80-6050,0466-80-6051,～18:00,,,,
常温山梨センター,400-8566,山梨県甲府市国母6-2-38,055-228-4112,055-231-2444,～19:00,,,,
常温一括富士センター,419-0201,静岡県富士市厚原字込野1699-1　DPL新富士Ⅱ4階（南側）,0545‐37‐1860,0545‐37‐1865,～20:00,,,,
常温一括掛川センター,437-1433,静岡県掛川市上土方工業団地29－31,0537-74-0711,0537-74-0717,～21:00,,,,
常温一括名古屋センター,455-0847,愛知県名古屋市港区空見町3-2,052-304-9300,052-304-9301,～22:00,,,,
常温一括小牧センター,485-0077,愛知県小牧市大字西之島字花塚1168-5,0568-74-2670,0568-74-2713,～23:00,,,,
常温愛知センター,485-0077,愛知県小牧市大字西之島字申塚1118-3,0568‐74‐6611,0568‐74‐6612,～0:00,,,,
常温一括大津センター,520-0844,滋賀県大津市国分2丁目字新田226,077-531-0005,077-531-0025,～1:00,,,,
常温大阪大正センター,551-0022,大阪府大阪市大正区船町1丁目2-21,06‐6554‐0711,06‐6554‐0716,～2:00,,,,
常温共配西淀川センター,555-0042,大阪府大阪市西淀川区西島1-1-62,06-6459-9100,06-6459-9101,～3:00,,,,
常温一括岸和田センター,596-0041,大阪府岸和田市下野町2-12-1,0724-29-0711,0724-29-0710,～4:00,,,,
常温一括大阪北センター,567-0838,大阪府茨木市東野々宮町1-40　GLP　ALFALINK　茨木Ｉ　4F,072-665-5173,072-665-5176,～5:00,,,,
常温一括加古川センター,675-0023,兵庫県加古川市尾上町池田字池田開拓1897－7,079-456-8711,079-456-8730,～6:00,,,,
常温一括岡山センター,701-0304,岡山県都窪郡早島町大字早島4358-6,086-480-1290,086-480-1291,～7:00,,,,
常温広島センター,731-3169,広島県広島市安佐南区伴西2-2-1,082-849-2711,082-848-0610,～8:00,,,,
常温一括山口センター,747-1221,山口県山口市大字鋳銭司団地北447－44,0839-86-3026,0839-86-3005,～9:00,,,,
常温丸亀センター,763-0062,香川県丸亀市蓬莱町７番地２,0877-58-3266,0877-58-3276,～10:00,,,,
常温北九州センター,800-0229,福岡県北九州市小倉南区曽根北町5-14,093-474-1515,093-471-1333,～11:00,,,,
常温筑後センター,833-0005,福岡県筑後市大字長浜306,0942-51-1151,0942-51-1152,～12:00,,,,
常温一括福岡センター,811-0121,福岡県糟屋郡新宮町美咲1-1-77,092-962-2271,092-941-2075,～13:00,,,,
常温共配熊本センター,861-8031,熊本県熊本市東区戸島町1000-1,096-380-0711,096-213-3131,～14:00,,,,
常温一括宮崎センター,880-0912,宮崎県宮崎市大字赤江975－6,0985-50-0777,0985-55-1398,～15:00,,,,
常温鹿児島センター,891-0131,鹿児島県鹿児島市谷山港3-3-1　Ｂ棟,099-210-8711,099-210-8708,～16:00,,,,
常温沖縄共配センター,901-0224,沖縄県豊見城市字与根50 番地135,098-840-6306,098-840-6307,～17:00,,,,
ジャルロイヤルケータリング　羽田工場,144-0041,東京都大田区羽田空港３丁目５−７,03-5708-7761,,～19:00,,,,
ジャルロイヤルケータリング　成田工場,286-0111,千葉県成田市三里塚字御料牧場1-720,0476-32-1315,,～20:00,,,,
双日ロイヤルインフライトケイタリング,549-0021,大阪府泉南市泉州空港南１番地,072-456-6370,,～21:00,,,,
名古屋エアケータリング,479-0881,愛知県常滑市セントレア1丁目1番地,0569-38-7901,,～22:00,,,,
岡山物流センター（ウェルシア）,701-0301,岡山県都窪郡早島町矢尾852,086-292-1000,,～0:00,,,,
静岡物流センター（ウェルシア）,420-0922,静岡県静岡市葵区流通センター14番3号,054-655-2520,,～1:00,,,,
WE西関東RDC（ウェルシア）,243-0022,神奈川県厚木市酒井1902センコー厚木支店厚木ロジスティックセンター内,046-220-5120,,～2:00,,,,
泉南第一物流センター（ウェルシア）,598-0061,大阪府泉佐野市住吉町27-2,072-464-3731,,～3:00,,,,
福岡北物流Ｃ（ウェルシア）,811-2320,福岡県糟屋郡粕屋町内橋東2-15-17,092-624-1955,,～4:00,,,,
東京中央物流センター,332-8530,埼玉県川口市領家5-3-1,048-499-7776,,～5:00,,,,
㈱ベルーナ・ジー・エフ・ロジスティック,362-0066,埼玉県上尾市領家丸山30-1,048-725-0179,,7:00～12:00,,,,
サトウ小牧物流センター,485-0003,愛知県小牧市久保一色1500,0568-48-8082,,～9:00,,,,
日本アクセス群馬物流センター,370-0101,群馬県伊勢崎市堺東新井1048-22,090-9822-8010,,～10:00,,,,
